Basin,Geounit,Country,Facility Name with Facility ID,Business Line,Model ID,Serial No,Calibration Frequency in Month,Date of Last Calibration Test,Calibration Compliance Indicator,Leak Test Frequency in Month,Date of Last Leak Test,Leak Test Compliance Indicator,Last Leak Test Result Recorded,Leak Test Result Compliance Indicator,Confirmation Inventory Frequency,Date of last confirmation inv test,Date of next confirmation inv test,Photo Inventory Frequency,Date of Last Photo Inv test,Date of Next Photo Inv test,Confirmation & Photo Compliance Indicator,Located,Physical Location,PAU / Countrol site
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KME-02,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Jan-23,20-Apr-23,12Month,13-Apr-22,13-Apr-23,Action Needed,AE-1,Job,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KME-03,,4-Jul-07,Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,19-Jan-23,19-Apr-23,12Month,26-Apr-22,26-Apr-23,Action Needed,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KME-04,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,23-Feb-23,23-May-23,12Month,6-May-22,6-May-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KME-05,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,6-May-22,6-May-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KME-06,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KME-07,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,22-Feb-23,22-May-23,12Month,22-Feb-23,22-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KMX-01,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,6-May-22,6-May-23,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KMX-02,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,23-Feb-23,23-May-23,12Month,25-May-22,25-May-23,Compliance,BPN_RA_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KMX-03,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,19-Jan-23,19-Apr-23,12Month,13-Apr-22,13-Apr-23,Action Needed,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KMX-04,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,22-Aug-22,22-Aug-23,Compliance,HAKURYU-14,Job,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|KMX-05,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,22-Feb-23,22-May-23,12Month,22-Feb-23,22-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|LKG-01,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,20-Feb-23,20-May-23,12Month,20-Feb-23,20-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|LKG-02,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,23-Feb-23,23-May-23,12Month,23-Feb-23,23-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
ASIA-ASIA,ING,Indonesia,KAL - Manggar OFS Base - 255,RPE,,GSR-U|LKG-03,,(No Record),Non Compliance,,(Not Applicable),Not Applicable,(Not Applicable),Not Applicable,3Month,23-Feb-23,23-May-23,12Month,23-Feb-23,23-Feb-24,Compliance,BPN_RAD_PIT,Shop,IDBPN-WLES
